თარიღი,დანიშნულება,,GEL,USD,EUR,GBP
02/12/2024,გადახდა - თანხა GEL0.20; გადახდა - თანხა: GEL0.20; თბილისის მიკროავტობუსი - მარშრუტის ნომერი 550; თარიღი: 02/12/2024 19:39:36; ბარათის No: ****4430 (ელ. საფულე),,-0.2,,,
03/12/2024,გადახდა - თანხა GEL0.20; გადახდა - თანხა: GEL0.20; თბილისის ავტობუსი - მარშრუტის ნომერი 307; თარიღი: 03/12/2024 18:48:37; ბარათის No: ****4430 (ელ. საფულე),,-0.2,,,
03/12/2024,გადახდა - თანხა GEL0.20; გადახდა - თანხა: GEL0.20; თბილისის ავტობუსი - მარშრუტის ნომერი 301; თარიღი: 03/12/2024 12:08:50; ბარათის No: ****4430 (ელ. საფულე),,-0.2,,,
04/12/2024,გადახდა - თანხა GEL0.20; გადახდა - თანხა: GEL0.20; თბილისის ავტობუსი - მარშრუტის ნომერი 301; თარიღი: 04/12/2024 22:51:55; ბარათის No: ****4430 (ელ. საფულე),,-0.2,,,
04/12/2024,გადახდა - თანხა GEL0.20; გადახდა - თანხა: GEL0.20; თბილისის ავტობუსი - მარშრუტის ნომერი 372; თარიღი: 04/12/2024 18:31:18; ბარათის No: ****4430 (ელ. საფულე),,-0.2,,,
06/12/2024,გადახდა - თანხა GEL0.20; გადახდა - თანხა: GEL0.20; თბილისის ავტობუსი - მარშრუტის ნომერი 372; თარიღი: 06/12/2024 21:18:08; ბარათის No: ****4430 (ელ. საფულე),,-0.2,,,
07/12/2024,გადახდა - თანხა GEL0.20; გადახდა - თანხა: GEL0.20; თბილისის მეტრო - მეტროსადგური თავისუფლების მოედანი; თარიღი: 06/12/2024 23:22:44; ბარათის No: ****4430 (ელ. საფულე),,-0.2,,,
09/12/2024,გადახდა - თანხა GEL0.20; გადახდა - თანხა: GEL0.20; თბილისის ავტობუსი - მარშრუტის ნომერი 372; თარიღი: 09/12/2024 22:21:17; ბარათის No: ****4430 (ელ. საფულე),,-0.2,,,
12/12/2024,გადახდა - თანხა GEL0.20; გადახდა - თანხა: GEL0.20; თბილისის მეტრო - მეტროსადგური თავისუფლების მოედანი; თარიღი: 12/12/2024 19:08:16; ბარათის No: ****4430 (ელ. საფულე),,-0.2,,,
